Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32K6500AG,Haier,DMT,No,Yes,Both,Haier Appliances (India) Pvt. Ltd,India,,15600,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c51f
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,DET DI24SF,Detel,DMT,No,No,No,Malhotra Electronics Pvt Ltd,India,,13999,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c51e
QRS,SYC Amore Complex 11/1953 Pattom Down hill Plammoodu Thiruvananthapuram Kerala 695004,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32OA,VU,DMT,No,Yes,Both,VU Technologies Pvt Ltd.,China,,14200,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4fd
QRS,SYC Amore Complex 11/1953 Pattom Down hill Plammoodu Thiruvananthapuram Kerala 695004,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,49PL,VU,DMT,No,Yes,Both,HISENSE INTERNATIONAL CO. LTD,China,,30400,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4fb
QRS,SYC Amore Complex 11/1953 Pattom Down hill Plammoodu Thiruvananthapuram Kerala 695004,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40G300,TCL ,DMT,Yes,Yes,Both,Mirc Electronics Ltd,,,29990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f9
QRS,SYC Amore Complex 11/1953 Pattom Down hill Plammoodu Thiruvananthapuram Kerala 695004,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,DET DI24SF,Detel,DMT,No,No,No,Malhotra Electronics Pvt Ltd,India,,13990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f5
Pravin Agencies,Sr No. 55/2 Shreeram Nagar Hsg. Society Chandan Nagar Shree Ram Society Pune International Airport Area Lohegaon Pune Maharashtra 411014,Pune,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,GL32H0B0CF,LLOYD,DMT,No,No,No,"K-Tronics ( SUZHOU) Technology Co., Ltd",China,,22990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cadc
Pravin Agencies,Sr No. 55/2 Shreeram Nagar Hsg. Society Chandan Nagar Shree Ram Society Pune International Airport Area Lohegaon Pune Maharashtra 411014,Pune,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-3213,Intex,DMT,No,No,No,Intex Technologies (India) Ltd.,India,,11500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cadb
Pravin Agencies,Sr No. 55/2 Shreeram Nagar Hsg. Society Chandan Nagar Shree Ram Society Pune International Airport Area Lohegaon Pune Maharashtra 411014,Pune,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE55U6500U,Haier,DMT,No,No,No,SHENZHEN MTC CO LTD,China,,89990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cada
Pravin Agencies,Sr No. 55/2 Shreeram Nagar Hsg. Society Chandan Nagar Shree Ram Society Pune International Airport Area Lohegaon Pune Maharashtra 411014,Pune,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32B9500WB,Haier,DMT,Yes,No,No,Haier Appliances (India) Pvt. Ltd,India,,20990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cad9
